"Местное время в Перми";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"07.05.2021 11:00";"20.3";"746.2";"761.1";"0.0";"28";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"1.1";"";"";"";"";"";"";
"07.05.2021 08:00";"10.8";"746.2";"761.6";"0.0";"49";"Ветер, дующий с юго-юго-востока";"3";"";"";"60%.";" ";"";"";"2.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"0.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"1.0";"";"";
"07.05.2021 05:00";"4.8";"746.2";"762.1";"0.3";"63";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-1.7";"";"";"";"";"";"";
"07.05.2021 02:00";"2.4";"745.9";"761.8";"0.9";"67";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-3.1";"";"";"";"";"";"";
"06.05.2021 23:00";"4.0";"745.0";"760.9";"0.7";"62";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-2.8";"";"";"";"";"";"";
"06.05.2021 20:00";"12.1";"744.3";"759.7";"0.2";"29";"Ветер, дующий с запада";"2";"";"10";"Облаков нет.";" ";"";"";"";"12.3";"";"";"";"";"";"20.0";"-5.5";"Осадков нет";"12";"";"";"";"";
"06.05.2021 17:00";"11.7";"744.1";"759.4";"0.7";"33";"Ветер, дующий с запада";"4";"";"10";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.1";"";"";"";"";"";"";
"06.05.2021 14:00";"8.2";"743.4";"758.9";"1.9";"44";"Ветер, дующий с запада";"4";"";"12";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.5";"";"";"";"";"";"";
"06.05.2021 11:00";"6.7";"741.5";"757.1";"1.9";"42";"Ветер, дующий с запада";"6";"12";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.4";"";"";"";"";"";"";
"06.05.2021 08:00";"4.7";"739.6";"755.3";"1.8";"65";"Ветер, дующий с запада";"4";"";"11";"90  или более, но не 100%";" ";"";"";"4.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.4";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"06.05.2021 05:00";"4.9";"737.8";"753.4";"1.2";"67";"Ветер, дующий с западо-юго-запада";"3";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.7";"";"";"";"";"";"";
"06.05.2021 02:00";"6.4";"736.6";"752.0";"0.8";"61";"Ветер, дующий с западо-юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.7";"";"";"";"";"";"";
"05.05.2021 23:00";"8.2";"735.8";"751.2";"1.4";"52";"Ветер, дующий с западо-юго-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.3";"";"";"";"";"";"";
"05.05.2021 20:00";"10.6";"734.4";"749.6";"-0.3";"54";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"16.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"1.7";"5.0";"12";"";"";"";"";
"05.05.2021 17:00";"9.5";"734.7";"750.0";"0.2";"87";"Ветер, дующий с юга";"2";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Дождь.";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высокослоистые просвечивающие.";"";"4.0";"7.4";"";"";"";"";"";"";
"05.05.2021 14:00";"8.0";"734.5";"749.8";"1.5";"88";"Ветер, дующий с запада";"1";"";"11";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"6.1";"";"";"";"";"";"";
"05.05.2021 11:00";"16.0";"733.0";"748.0";"-0.6";"51";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высокослоистые просвечивающие.";"";"20.0";"5.9";"";"";"";"";"";"";
"05.05.2021 08:00";"15.1";"733.6";"748.6";"-0.2";"51";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"13.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высокослоистые просвечивающие.";"";"20.0";"4.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"05.05.2021 05:00";"14.3";"733.8";"748.8";"-0.4";"54";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"5.0";"";"";"";"";"";"";
"05.05.2021 02:00";"17.2";"734.2";"749.0";"-0.8";"43";"Ветер, дующий с юго-юго-востока";"4";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.3";"";"";"";"";"";"";
"04.05.2021 23:00";"19.4";"735.0";"749.8";"-1.0";"39";"Ветер, дующий с юга";"3";"";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.0";"";"";"";"";"";"";
"04.05.2021 20:00";"21.7";"736.0";"750.7";"-0.6";"33";"Ветер, дующий с юга";"5";"";"17";"90  или более, но не 100%";" ";"";"";"";"25.5";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"4.5";"Осадков нет";"12";"";"";"";"";
"04.05.2021 17:00";"23.8";"736.6";"751.1";"-0.8";"31";"Ветер, дующий с юга";"6";"11";"19";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.6";"";"";"";"";"";"";
"04.05.2021 14:00";"24.4";"737.4";"751.9";"-0.9";"29";"Ветер, дующий с юго-юго-запада";"6";"13";"19";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.3";"";"";"";"";"";"";
"04.05.2021 11:00";"21.7";"738.3";"753.0";"-1.0";"40";"Ветер, дующий с юго-юго-запада";"6";"12";"14";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"7.6";"";"";"";"";"";"";
"04.05.2021 08:00";"14.3";"739.3";"754.5";"-1.0";"52";"Ветер, дующий с юга";"4";"";"10";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"4.4";"0.7";"12";"Поверхность почвы влажная.";"7.0";"";"";
"04.05.2021 05:00";"11.4";"740.3";"755.6";"-2.5";"52";"Ветер, дующий с юго-юго-востока";"6";"10";"11";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"1.9";"";"";"";"";"";"";
"04.05.2021 02:00";"8.2";"742.8";"758.3";"-3.7";"71";"Ветер, дующий с юго-востока";"5";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"3.2";"";"";"";"";"";"";
"03.05.2021 23:00";"12.0";"746.5";"762.0";"-0.8";"37";"Ветер, дующий с юга";"2";"";"10";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"03.05.2021 20:00";"12.5";"747.3";"762.7";"-1.1";"26";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"15.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-6.7";"Осадков нет";"12";"";"";"";"";
"03.05.2021 17:00";"14.5";"748.4";"763.8";"-0.9";"21";"Ветер, дующий с западо-юго-запада";"2";"";"11";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-7.6";"";"";"";"";"";"";
"03.05.2021 14:00";"14.8";"749.3";"764.6";"-0.7";"23";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-6.3";"";"";"";"";"";"";
"03.05.2021 11:00";"11.1";"750.0";"765.5";"0.0";"30";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-5.9";"";"";"";"";"";"";
"03.05.2021 08:00";"6.6";"750.0";"765.7";"0.9";"48";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"-1.8";"";"";"";"";"";"";"20.0";"-3.8";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-2.0";"";"";
"03.05.2021 05:00";"-0.9";"749.1";"765.3";"0.8";"73";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-5.1";"";"";"";"";"";"";
"03.05.2021 02:00";"0.1";"748.3";"764.5";"0.6";"70";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.7";"";"";"";"";"";"";
"02.05.2021 23:00";"2.6";"747.7";"763.6";"0.6";"61";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.2";"";"";"";"";"";"";
"02.05.2021 20:00";"9.5";"747.1";"762.7";"0.3";"33";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"11.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.3";"Осадков нет";"12";"";"";"";"";
"02.05.2021 17:00";"10.1";"746.8";"762.3";"0.8";"31";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.6";"";"";"";"";"";"";
"02.05.2021 14:00";"10.1";"746.0";"761.5";"1.2";"30";"Ветер, дующий с западо-северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.8";"";"";"";"";"";"";
"02.05.2021 11:00";"9.1";"744.8";"760.3";"1.4";"47";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.6";"";"";"";"";"";"";
"02.05.2021 08:00";"7.0";"743.4";"759.0";"1.5";"83";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.3";"0.8";"12";"Поверхность почвы влажная.";"7.0";"";"";
"02.05.2021 05:00";"8.3";"741.9";"757.3";"0.8";"86";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"6.0";"";"";"";"";"";"";
"02.05.2021 02:00";"8.6";"741.1";"756.6";"-0.1";"89";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"6.9";"";"";"";"";"";"";
"01.05.2021 23:00";"9.1";"741.2";"756.7";"-0.4";"77";"Ветер, дующий с юга";"4";"";"11";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"5.3";"";"";"";"";"";"";
"01.05.2021 20:00";"9.9";"741.6";"757.0";"0.5";"73";"Ветер, дующий с юго-юго-запада";"5";"11";"19";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"16.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"5.3";"0.5";"12";"";"";"";"";
"01.05.2021 17:00";"14.3";"741.1";"756.3";"-0.8";"42";"Ветер, дующий с юга";"7";"14";"21";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"1.5";"";"";"";"";"";"";
"01.05.2021 14:00";"15.9";"741.9";"757.0";"-1.3";"28";"Ветер, дующий с юго-юго-запада";"9";"17";"21";"100%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-2.7";"";"";"";"";"";"";
"01.05.2021 11:00";"14.0";"743.2";"758.5";"-2.1";"30";"Ветер, дующий с юга";"7";"13";"13";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-3.2";"";"";"";"";"";"";
"01.05.2021 08:00";"6.7";"745.3";"761.0";"-2.0";"42";"Ветер, дующий с юго-юго-востока";"6";"11";"12";"100%.";" ";"";"";"2.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высокослоистые просвечивающие.";"";"20.0";"-5.3";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"01.05.2021 05:00";"5.8";"747.3";"763.0";"-1.3";"41";"Ветер, дующий с юго-юго-востока";"5";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-6.6";"";"";"";"";"";"";
"01.05.2021 02:00";"4.7";"748.6";"764.5";"-0.3";"46";"Ветер, дующий с юго-юго-востока";"4";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-6.1";"";"";"";"";"";"";
"30.04.2021 23:00";"2.3";"748.9";"765.0";"0.4";"56";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-5.6";"";"";"";"";"";"";
"30.04.2021 20:00";"8.5";"748.5";"764.2";"-0.1";"33";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"10.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-7.0";"Осадков нет";"12";"";"";"";"";
"30.04.2021 17:00";"9.1";"748.6";"764.2";"0.2";"26";"Ветер, дующий с запада";"4";"12";"12";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-9.7";"";"";"";"";"";"";
"30.04.2021 14:00";"8.3";"748.4";"764.1";"-0.1";"27";"Ветер, дующий с запада";"4";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-9.9";"";"";"";"";"";"";
"30.04.2021 11:00";"5.5";"748.5";"764.3";"0.7";"47";"Ветер, дующий с западо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.0";"";"";"";"";"";"";
"30.04.2021 08:00";"2.4";"747.8";"763.8";"1.6";"68";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"1.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-3.0";"1.0";"12";"Поверхность почвы влажная.";"0.0";"";"";
"30.04.2021 05:00";"1.7";"746.2";"762.2";"1.2";"86";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.4";"";"";"";"";"";"";
"30.04.2021 02:00";"3.9";"745.0";"760.8";"1.1";"75";"Ветер, дующий с севера";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-0.2";"";"";"";"";"";"";
"29.04.2021 23:00";"2.0";"743.9";"759.8";"0.3";"89";"Ветер, дующий с юго-запада";"2";"";"10";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.4";"";"";"";"";"";"";
